Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Baseline_XGBoost,0.7107093184979137,0.6772908366533864,0.8808290155440415,0.7657657657657657,0.7835037109648509
MuRIL,0.9596662030598053,0.9451371571072319,0.9818652849740933,0.963151207115629,0.9921968600725077
mBERT,0.9666203059805285,0.948019801980198,0.9922279792746114,0.9696202531645569,0.9971914920101449
XLM-R,0.9763560500695411,0.9694656488549618,0.9870466321243523,0.9781771501925546,0.9973782072227668
